time,open,high,low,close,tick_volume
2025-06-26 10:09:10.334090,199.67902459870362,199.9402475049488,199.3607722276995,199.55334785400058,170
2025-06-26 10:14:10.334090,199.27835752244684,199.52241285005059,199.17398288999863,199.3638454650608,366
2025-06-26 10:19:10.334090,199.625944843123,200.0716988312454,199.30658304396368,199.85453691152455,323
2025-06-26 10:24:10.334090,200.07477259558632,200.4278869719641,199.7745853731624,199.97592392739466,275
2025-06-26 10:29:10.334090,200.1331244862736,200.26267378370474,199.6729227272255,199.89444700562083,324
2025-06-26 10:34:10.334090,200.3235546612709,200.58450078057913,199.85233203619134,200.01430337097656,487
2025-06-26 10:39:10.334090,199.79749063285192,200.06430345351785,199.46852172347363,199.8193380537647,252
2025-06-26 10:44:10.334090,199.88731004147473,200.1098034949593,199.3972262728369,199.87991782396372,220
2025-06-26 10:49:10.334090,200.19744970015128,200.4033998584386,199.93864682414198,200.03333413324538,416
2025-06-26 10:54:10.334090,200.17448543122825,200.41623196915026,200.0067125918095,200.04278097796757,451
2025-06-26 10:59:10.334090,200.5268026168845,200.7158780613881,200.06318262542283,200.33696009787923,137
2025-06-26 11:04:10.334090,200.11481996872922,200.35316339332581,199.78993552735884,200.13956792214782,255
2025-06-26 11:09:10.334090,199.97129289170428,200.09573313216012,199.64916282393702,199.79072596636698,445
2025-06-26 11:14:10.334090,200.05764859600978,200.19688749557707,199.91358676201375,200.12554623460264,391
2025-06-26 11:19:10.334090,200.03527461617466,200.38753361725918,199.79077837044298,200.21777156830035,292
2025-06-26 11:24:10.334090,200.55257942664676,200.78203367869995,200.21622478105385,200.63271478411045,205
2025-06-26 11:29:10.334090,200.6841646414012,201.09384007716938,200.34325139232683,200.55508780122787,109
2025-06-26 11:34:10.334090,200.34380741431258,200.84077514493163,199.94272051954104,200.41003440375903,361
2025-06-26 11:39:10.334090,200.12082644594017,200.2386387921802,199.77510400011593,199.93609363621061,287
2025-06-26 11:44:10.334090,199.44077796580962,199.7828995219385,199.32611897402867,199.48537510484988,486
2025-06-26 11:49:10.334090,199.86368290012,199.97288305915382,199.59634207661125,199.93004013453316,166
2025-06-26 11:54:10.334090,200.19034303736382,200.3663303055697,199.76930691709595,200.26233137544455,190
2025-06-26 11:59:10.334090,200.23611562639599,200.50965028868706,199.82445323446228,199.99196717649414,389
2025-06-26 12:04:10.334090,199.89233031309152,200.10722633522138,199.52502795211865,199.53499509455867,380
2025-06-26 12:09:10.334090,199.35998409241418,199.57505705978974,199.06178440286067,199.5742414342199,208
2025-06-26 12:14:10.334090,199.50385960959508,199.99255966572215,199.27757745219805,199.30881281104598,446
